PIB File Number,Date Occurred,Originating Bureau,Division Level,Division,Unit,Working Status,Shift,Investigation Status,Disposition,Service Type,Light Condition,Weather Condition,Number of Officers,Number of Subjects,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2020-0206,7/13/2020,FOB - Field Operations Bureau,5th District,D.I.U.,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,No,White,Male,28,8,19 feet to 21 feet,Male,,,Small,5'0'' to 5'3'',No,No,No,,Weapon Exhibited,No
FTN2020-0305,10/18/2020,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1,CEW Deployment,L2,None detected,Yes,Black,Male,39,11,4 feet to 6 feet,Male,Black,39,Medium,5'7'' to 5'9'',Yes,No,Yes,,Flight from an Officer,No
FTN2021-0356,11/10/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,2,1,Force (Take Down) | CEW Deployment,L2 | L2,Unknown,Yes | Yes,White | White,Male | Male,46 | 33,15 | 6,0 feet to 1 feet,Male,Black,35,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,Yes | No
FTN2021-0405,12/19/2021,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,5,1,Hands | Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1 | L1,Mentally unstable,Yes | No | Yes | Yes | Yes,White | Black | Black | Black | White,Male | Male | Male | Male | Male,36 | 52 | 59 | 49 | 27,15 | 16 | 26 | 26 | 4,0 feet to 1 feet,Female,Black,21,Medium,5'7'' to 5'9'',No,Yes,No,,Resisting Lawful Arrest,No | No | No | No | No
FTN2021-0079,3/16/2021,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Other,1,1,Takedown (no injury),L1,None detected,Yes,Black,Male,62,15,0 feet to 1 feet,Male,Black,27,Small,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2021-0080,3/19/2021,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,,Clear Conditions,7,1,Hands | Hands | Firearm (Exhibited) | Hands | Hands | CEW Deployment | Hands,L1 | L1 | L1 | L1 | L1 | L2 | L1,Unknown,Yes | Yes | Yes | Yes | Yes | Yes | Yes,Black | Black | Not Specified | Not Specified | White | Black | Black,Male | Female | Male | Male | Male | Female | Male,34 | 35 | 25 | 25 | 30 | 31 | 25,11 | 8 | 6 | 6 | 6 | 1 | 4,1 feet to 3 feet,Male,Black,46,Medium,,No,Yes,No,,Weapon Exhibited,No | No | No | No | No | No | No
FTN2017-0597,11/19/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,3,1,Firearm (Exhibited) | Rifle (Pointed) | Firearm (Exhibited),L1 | L1 | L1,Alchohol,Yes | Yes | Yes,Black | White | White,Male | Male | Male,28 | 43 | 33,14 | 14 | 12,4 feet to 6 feet,Male,Black,43,Large,5'10'' to 6'0'',No,Yes,Yes,,Tactical Deployments,No | No | No
FTN2017-0564,10/29/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1,Baton/PR-24(NonStrk),L2,Alchohol,Yes,White,Male,26,8,0 feet to 1 feet,Male,White,34,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2018-0416,11/11/2018,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Arresting,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,35,7,4 feet to 6 feet,Male,Hispanic,34,Medium,5'4'' to 5'6'',No,No,Yes,,Tactical Deployments,No
FTN2017-0599,11/27/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1,CEW Exhibited/Laser,L1,Alchohol,Yes,Hispanic,Male,37,12,15 feet to 18 feet,Male,Black,25,Medium,> 6'3'',No,No,No,,Other,No
FTN2018-0024,1/19/2018,Office of the Superintendent,Staff Division,Compliance Section,,Paid Detail,Between 11pm-7am,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,1,Force (Take Down),L2,Alchohol,Yes,White,Male,51,32,0 feet to 1 feet,Male,Hispanic,30,Medium,5'7'' to 5'9'',No,No,Yes,,Battery on Police Officer,Yes
FTN2021-0344,11/4/2021,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Unknown Working Status,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,5,1,Hands | Other | Hands | Hands | Hands,L1 | L1 | L1 | L1 | L1,Unknown,Yes | Yes | Yes | Yes | Yes,White | White | White | White | White,Male | Male | Male | Male | Male,39 | 39 | 34 | 36 | 36,17 | 17 | 9 | 5 | 5,0 feet to 1 feet,Male,Black,34,Medium,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,Yes | Yes | No | No | Yes
FTN2018-0361,9/13/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,2,2,Firearm (Exhibited) | Takedown (no injury),L1 | L1,Mentally unstable | Mentally unstable,Yes | Yes,White | Black,Male | Male,45 | 29,24 | 14,0 feet to 1 feet | 0 feet to 1 feet,Male | Male,Black | Black,14 | 34,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,No | No,Yes | Yes,,Tactical Deployments,No | No
FTN2018-0376,10/7/2018,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Not Justified,Call for Service,Good,Clear Conditions,1,1,CEW Deployment,L2,None detected,No,Black,Male,53,23,15 feet to 18 feet,Male,Black,20,Small,5'10'' to 6'0'',No,No,No,,Flight from an Officer,No
FTN2023-0427,10/11/2023,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,CEW Deployment,L2,None detected,No,Black,Male,27,4,11 feet to 14 feet,Male,Black,33,Medium,5'4'' to 5'6'',No,No,Yes,,Flight from an Officer,No
FTN2021-0340,10/29/2021,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Takedown (no injury),L1,Mentally unstable,Yes,White,Female,28,6,0 feet to 1 feet,Male,White,0,Medium,6'1'' to 6'3'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2021-0342,11/1/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Takedown (no injury),L1,Unknown,Yes,Black,Male,24,1,0 feet to 1 feet,Male,Black,23,Small,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2019-0137,4/7/2019,FOB - Field Operations Bureau,8th District,C Platoon,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Other,3,1,Force (Take Down) | Other | Force (Take Down),L2 | L2 | L2,Unknown,Yes | Yes | Yes,White | White | White,Male | Male | Male,32 | 29 | 28,9 | 9 | 8,4 feet to 6 feet,Male,White,32,Large,6'1'' to 6'3'',Yes,Yes,Yes,,Battery on Police Officer,No | No | No
FTN2018-0117,4/3/2018,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,1,Force (Take Down),L2,Unknown,Yes,White,Male,39,20,0 feet to 1 feet,Male,Black,20,Small,5'4'' to 5'6'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2020-0169,6/16/2020,FOB - Field Operations Bureau,5th District,D.I.U.,Investigations,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,No,White,Male,28,8,7 feet to 10 feet,Male,Black,32,Medium,5'4'' to 5'6'',No,No,Yes,,Flight from an Officer,No
FTN2020-0176,6/22/2020,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1,Takedown (no injury),L1,Unknown,Yes,White,Male,32,6,1 feet to 3 feet,Male,Black,13,Small,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2021-0337,10/26/2021,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,3,1,Firearm (Exhibited) | Force (Escort Tech) | Firearm (Exhibited),L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,45 | 48 | 29,27 | 9 | 5,0 feet to 1 feet,Male,Black,35,Large,5'10'' to 6'0'',No,Yes,No,,Refusal of Verbal Commands,No | No | No
FTN2023-0519,12/23/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Regular Working,Between 7am - 7pm,Completed,UOF Justified,Other,Good,Clear Conditions,1,1,Takedown (no injury),L1,Unknown,Yes,White,Male,29,5,0 feet to 1 feet,Female,White,,Small,5'0'' to 5'3'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2017-0532,10/10/2017,FOB - Field Operations Bureau,8th District,Bourbon Promenade,,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,3,1,Hands | CEW Exhibited/Laser | Hands,L1 | L1 | L1,Unknown,Yes | Yes | No,White | White | White,Female | Male | Male,31 | 23 | 25,8 | 8 | 8,0 feet to 1 feet,Male,Black,43,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2020-0341,11/24/2020,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Hands,L1,None detected,Yes,Black,Male,47,23,1 feet to 3 feet,Male,Black,41,Medium,5'0'' to 5'3'',No,No,No,,Refusal of Verbal Commands,No
FTN2017-0470,9/8/2017,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,6,1,Firearm (Exhibited) | Hands | Firearm (Exhibited) | Firearm (Exhibited) | Hands | Firearm (Exhibited),L1 | L1 | L1 | L1 | L1 | L1,Unknown,Yes | Yes | Yes | Yes | Yes | Yes,Black | Black | White | Black | Hispanic | Black,Male | Male | Male | Male | Male | Female,34 | 34 | 38 | 45 | 28 | 34,16 | 16 | 20 | 28 | 12 | 9,1 feet to 3 feet,Male,Black,39,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No | No | No | No | No | No
FTN2023-0210,4/23/2023,FOB - Field Operations Bureau,2nd District,D.I.U.,Persons,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,4,2,Firearm (Exhibited) | Other | Takedown (no injury) | - Hands (with injury),L1 | L1 | L1 | L2,Unknown | Unknown,No | Yes | Yes | Yes,White | White | Black | Black,Female | Male | Male | Male,48 | 38 | 29 | 29,16 | 7 | 4 | 4,1 feet to 3 feet | 1 feet to 3 feet,Male | Male,Black | Black,20 | 18,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',Yes | Yes,Yes | Yes,Yes | Yes,,Resisting Lawful Arrest,No | No | No | No
FTN2021-0022,1/31/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Hispanic,Male,41,12,4 feet to 6 feet,Male,Black,,,,No,Yes,No,,Refusal of Verbal Commands,No
FTN2018-0470,12/29/2018,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Arresting,Poor,Clear Conditions,1,1,CEW Deployment,L2,Unknown,No,White,Male,40,10,19 feet to 21 feet,Male,Black,27,Large,5'10'' to 6'0'',No,No,Yes,,Flight from an Officer,Yes
FTN2019-0273,8/28/2019,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Not Justified,Arresting,Good,Clear Conditions,2,1,CEW Exhibited/Laser | Force (Take Down),L1 | L2,Unknown,No | Yes,Hispanic | Hispanic,Male | Male,26 | 26,7 | 7,0 feet to 1 feet,Female,Black,62,Small,5'0'' to 5'3'',Yes,No,Yes,,Other,No | No
FTN2022-0450,11/30/2022,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Hands,L1,None detected,Yes,Black,Male,28,4,0 feet to 1 feet,Male,Black,23,Medium,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2017-0254,5/20/2017,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Rainy Conditions - Medium,3,1,Force (Take Down) | Hands | Force (Escort Tech),L2 | L1 | L1,Mentally unstable,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,41 | 57 | 36,19 | 32 | 9,1 feet to 3 feet,Male,Black,55,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No | No | No
FTN2021-0372,11/22/2021,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Hands,L1,None detected,Yes,Black,Male,27,4,0 feet to 1 feet,Male,Black,16,Small,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2024-0100,3/20/2024,FOB - Field Operations Bureau,8th District,Unknown,Patrol,Regular Working,Between 7am - 7pm,Completed,UOF Justified,Other,Good,Clear Conditions,5,1,Force (Escort Tech) | Hands | Takedown (no injury) | Hands | Takedown (no injury),L1 | L1 | L1 | L1 | L1,None detected,Yes | Yes | Yes | Yes | Yes,White | White | White | White | White,Male | Male | Male | Male | Male,58 | 58 | 58 | 35 | 35,33 | 33 | 33 | 6 | 6,1 feet to 3 feet,Male,Black,25,Small,5'0'' to 5'3'',No,No,Yes,,Resisting Lawful Detention,No | No | No | No | No
FTN2017-0576,11/6/2017,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,2,1,Force (Take Down) | Force (Take Down),L2 | L2,None detected,Yes | Yes,White | White,Male | Male,24 | 30,8 | 7,1 feet to 3 feet,Female,Black,23,Medium,< 5'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2018-0441,12/2/2018,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,27,8,1 feet to 3 feet,Male,White,44,Medium,5'7'' to 5'9'',No,Yes,Yes,,Weapon Exhibited,No
FTN2022-0420,11/10/2022,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,2,1,Takedown (w/injury) | Takedown (w/injury),L2 | L2,Unknown,Yes | Yes,Black | White,Male | Male,28 | 31,4 | 4,0 feet to 1 feet,Male,Black,32,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Resisting Lawful Arrest,Yes | No
FTN2016-0065,2/3/2016,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,3,1,Hands | Force (Take Down) | Hands,L1 | L2 | L1,Unknown,Yes | Yes | No,Black | Black | Black,Male | Male | Male,40 | 43 | 51,15 | 26 | 32,0 feet to 1 feet,Male,Black,24,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No | No | No
FTN2019-0197,6/2/2019,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,35,9,15 feet to 18 feet,Male,Black,22,Medium,5'10'' to 6'0'',No,No,Yes,,Flight from an Officer,No
FTN2018-0236,6/28/2018,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Other,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Alchohol and unknown drugs,Yes,Hispanic,Male,38,12,11 feet to 14 feet,Male,White,0,Large,5'10'' to 6'0'',No,No,Yes,,Escape,No
FTN2019-0177,5/12/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Rainy Conditions - Medium,4,3,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Takedown (no injury),L1 | L1 | L1 | L1,Unknown | Unknown | Unknown,Yes | Yes | Yes | Yes,White | Black | White | Not Specified,Male | Male | Male | Male,41 | 30 | 49 | 30,17 | 14 | 29 | 10,1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet,Male | Male | Male,Black | Black | Black,32 | 23 | 26,Large | Large | Large,6'1'' to 6'3'' | 6'1'' to 6'3'' | 6'1'' to 6'3'',No | No | No,No | No | No,Yes | Yes | Yes,,Tactical Deployments,No | No | No | No
FTN2020-0156,5/29/2020,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,White,Male,36,5,1 feet to 3 feet,Male,Black,25,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2020-0145,5/13/2020,FOB - Field Operations Bureau,8th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,Black,Male,44,19,4 feet to 6 feet,Male,Black,26,Large,5'10'' to 6'0'',No,No,Yes,,Weapon Exhibited,No
FTN2018-0327,9/2/2018,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Force (Take Down),L2,None detected,Yes,White,Male,23,7,0 feet to 1 feet,Male,Black,23,Small,5'10'' to 6'0'',Yes,No,Yes,,Flight from an Officer,No
FTN2019-0242,7/27/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,2,4,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown | Unknown | Unknown | Unknown,Yes | Yes,Black | White,Male | Male,42 | 32,21 | 12,1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet,Male | Male | Male | Male,Black | Black | Black | Black,45 | 40 | 33 | 45,Medium | Medium | Medium | Medium,6'1'' to 6'3'' | 6'1'' to 6'3'' | 6'1'' to 6'3'' | 6'1'' to 6'3'',No | No | No | No,No | No | No | No,Yes | Yes | Yes | Yes,,Tactical Deployments,No | No
FTN2024-0019,1/12/2024,FOB - Field Operations Bureau,8th District,Day Watch,Day Watch,Regular Working,Between 7am-3pm,Completed,UOF Justified,Other,Good,Clear Conditions,1,1,Takedown (no injury),L1,Mentally unstable,Yes,White,Male,30,1,1 feet to 3 feet,Male,Black,54,Large,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2017-0546,10/19/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Alchohol,Yes | Yes,Asian/Pacific Islander | White,Male | Male,25 | 25,8 | 8,22 feet to 25 feet,Male,Black,37,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No | No
FTN2018-0446,12/4/2018,FOB - Field Operations Bureau,8th District,C Platoon,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Takedown (w/injury),L2,Unknown,Yes,White,Male,27,8,1 feet to 3 feet,Male,White,29,Large,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,Yes
FTN2017-0286,6/6/2017,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,2,1,Hands | Hands,L1 | L1,Mentally unstable,Yes | Yes,Black | White,Male | Male,34 | 33,20 | 9,0 feet to 1 feet,Female,Black,15,Medium,5'4'' to 5'6'',No,No,No,,Refusal of Verbal Commands,No | No
FTN2017-0602,11/29/2017,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,2,1,Hands | Force (Take Down),L1 | L2,Alchohol,Yes | Yes,Black | Black,Male | Male,34 | 34,20 | 20,0 feet to 1 feet,Female,Black,19,Small,5'0'' to 5'3'',No,Yes,Yes,,Refusal of Verbal Commands,No | No
FTN2019-0016,1/12/2019,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,2,1,Hands | Takedown (w/injury),L1 | L2,Unknown Drugs,Yes | Yes,White | White,Male | Male,50 | 50,7 | 7,0 feet to 1 feet,Male,Black,41,Large,> 6'3'',Yes,Yes,Yes,,Battery on Police Officer,Yes | Yes
FTN2019-0015,1/12/2019,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,2,1,Takedown (no injury) | CEW Deployment,L1 | L2,Unknown Drugs,Yes | No,Black | Black,Male | Male,25 | 25,7 | 7,0 feet to 1 feet,Male,Black,32,Large,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
